Date,U.S. Natural Gas Gross Withdrawals (MMcf),Alaska Natural Gas Gross Withdrawals (MMcf),Arkansas Natural Gas Gross Withdrawals (MMcf),California Natural Gas Gross Withdrawals (MMcf),Colorado Natural Gas Gross Withdrawals (MMcf),Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),Kansas Natural Gas Gross Withdrawals (MMcf),Louisiana Natural Gas Gross Withdrawals (MMcf),Montana Natural Gas Gross Withdrawals (MMcf),New Mexico Natural Gas Gross Withdrawals (MMcf),North Dakota Natural Gas Gross Withdrawals (MMcf),Ohio Natural Gas Gross Withdrawals (MMcf),Oklahoma Natural Gas Gross Withdrawals (MMcf),Pennsylvania Natural Gas Gross Withdrawals (MMcf),Texas Natural Gas Gross Withdrawals (MMcf),Utah Natural Gas Gross Withdrawals (MMcf),West Virginia Natural Gas Gross Withdrawals (MMcf),Wyoming Natural Gas Gross Withdrawals (MMcf)
01/01/1988,1931603,,,,,,,,,,,,,,,,,
01/02/1988,1758595,,,,,,,,,,,,,,,,,
01/03/1988,1833049,,,,,,,,,,,,,,,,,
01/04/1988,1690503,,,,,,,,,,,,,,,,,
01/05/1988,1730340,,,,,,,,,,,,,,,,,
01/06/1988,1660533,,,,,,,,,,,,,,,,,
01/07/1988,1680284,,,,,,,,,,,,,,,,,
01/08/1988,1697417,,,,,,,,,,,,,,,,,
01/09/1988,1614511,,,,,,,,,,,,,,,,,
01/10/1988,1753272,,,,,,,,,,,,,,,,,
01/11/1988,1777887,,,,,,,,,,,,,,,,,
01/12/1988,1871261,,,,,,,,,,,,,,,,,
01/01/1989,1871079,,,,,,,,,,,,,,,,,
01/02/1989,1717410,,,,,,,,,,,,,,,,,
01/03/1989,1814437,,,,,,,,,,,,,,,,,
01/04/1989,1742633,,,,,,,,,,,,,,,,,
01/05/1989,1775667,,,,,,,,,,,,,,,,,
01/06/1989,1688471,,,,,,,,,,,,,,,,,
01/07/1989,1725453,,,,,,,,,,,,,,,,,
01/08/1989,1720256,,,,,,,,,,,,,,,,,
01/09/1989,1649263,,,,,,,,,,,,,,,,,
01/10/1989,1724142,,,,,,,,,,,,,,,,,
01/11/1989,1789778,,,,,,,,,,,,,,,,,
01/12/1989,1855838,,,,,,,,,,,,,,,,,
01/01/1990,1938977,,,,,,,,,,,,,,,,,
01/02/1990,1719684,,,,,,,,,,,,,,,,,
01/03/1990,1841822,,,,,,,,,,,,,,,,,
01/04/1990,1752771,,,,,,,,,,,,,,,,,
01/05/1990,1781076,,,,,,,,,,,,,,,,,
01/06/1990,1712084,,,,,,,,,,,,,,,,,
01/07/1990,1757476,,,,,,,,,,,,,,,,,
01/08/1990,1764953,,,,,,,,,,,,,,,,,
01/09/1990,1690802,,,,,,,,,,,,,,,,,
01/10/1990,1841740,,,,,,,,,,,,,,,,,
01/11/1990,1825816,,,,,,,,,,,,,,,,,
01/12/1990,1895421,,,,,,,,,,,,,,,,,
01/01/1991,1956947,206213,19595,36651,21103,,64057,475615,5317,98168,5413,13138,194179,13538,613705,29169,17794,81224
01/02/1991,1737959,192757,16126,32831,24172,,54742,415395,4533,81480,4886,11794,176577,12153,540324,25803,15880,72419
01/03/1991,1889228,212592,16675,39214,24435,,58012,446189,4861,90924,5408,12855,189362,13271,578880,28696,17289,87728
01/04/1991,1799742,193357,13393,37554,25590,,52088,427529,4866,87912,5186,12191,182592,12588,556087,27430,16401,83390
01/05/1991,1786338,189547,13191,37761,23263,,50888,421558,4600,87739,5231,12085,181866,12483,561205,26066,16256,79090
01/06/1991,1712514,190891,12183,35557,23548,,46821,394184,3543,83496,5259,11737,168292,12115,546366,25904,15660,78893
01/07/1991,1740174,198657,12113,39094,23557,,45032,392974,3583,78816,5595,11966,176757,12372,555274,26327,15973,79998
01/08/1991,1740663,194613,11439,37700,24550,,42868,396947,4173,84884,5337,11942,171545,12338,551733,27840,15968,84670
01/09/1991,1715762,186968,11397,38819,23440,,43595,399564,4023,85430,4737,11590,167685,11991,550257,23393,15638,79188
01/10/1991,1863592,206342,13248,43053,24584,,50514,436848,4479,93028,4987,12612,180504,13054,590111,28671,17037,84356
01/11/1991,1864008,199164,14747,41556,25178,,58127,434276,4241,91833,5214,12611,179976,13042,588828,28721,16994,86145
01/12/1991,1942461,207795,15525,40046,31698,,63441,458989,4783,94910,5404,13130,184516,13555,612771,25640,17715,81377
01/01/1992,1952053,220207,18688,40367,28269,,65091,453270,5106,97887,5278,12811,184091,12329,598880,27197,16181,91656
01/02/1992,1747923,216672,16702,36985,26307,,56523,402327,4902,88307,4889,11514,166004,11001,528013,25078,14439,66059
01/03/1992,1837330,225612,18015,39291,25490,,53640,420967,5332,96143,5203,12436,165802,11762,553839,25991,15437,86107
01/04/1992,1801298,219351,17364,39024,26125,,47570,411917,4653,103739,4783,11936,168030,11377,538891,23358,14931,82918
01/05/1992,1841543,214908,17271,39717,27205,,50404,431327,4504,110218,4881,11885,165080,11468,560714,25028,15051,78099
01/06/1992,1799501,204193,16725,36276,27139,,48717,417000,3734,103727,4865,11431,166336,11110,543985,25354,14580,83725
01/07/1992,1841528,207403,17032,37994,26396,,49180,427388,3938,113534,5024,11646,160800,11339,556864,26008,14882,92895
01/08/1992,1798984,205162,17039,36885,27842,,48695,382708,3854,115909,5049,11664,159160,11212,562265,25896,14715,92078
01/09/1992,1786200,213266,16837,35860,27128,,47944,381170,3842,110818,4841,11528,160231,11089,555604,26956,14553,87299
01/10/1992,1898912,229947,18149,37302,28391,,56453,414845,4583,113532,5203,12472,170825,11902,579459,27416,15620,91334
01/11/1992,1871098,225054,18132,34459,29527,,64486,406315,5144,115884,4900,12450,172795,11789,557729,27403,15473,92754
01/12/1992,1955878,243938,18951,34695,34175,,71039,428235,5218,120081,5063,13042,178201,12296,571770,28590,16137,91893
01/01/1993,1965166,241168,17881,35778,32694,,68326,423076,5335,118270,5424,12178,181837,11538,586639,29036,15164,94983
01/02/1993,1767708,215639,16025,31941,29383,,59556,382554,4826,110194,5010,10875,162387,10337,531285,27418,14540,85936
01/03/1993,1943064,241867,17402,34552,33718,,61876,406496,5124,120573,5517,11718,174972,11214,589124,31267,14678,97361
01/04/1993,1842904,223263,16655,33088,34380,,55016,395723,4790,115915,5467,11238,167804,10773,569381,29882,13676,77740
01/05/1993,1878769,225685,16899,33431,36385,,56230,411114,4693,121341,5533,11318,169008,10929,579566,27942,13828,79381
01/06/1993,1794868,203582,16225,32111,33931,,53159,394868,4058,115051,5365,10862,162193,10505,558683,28358,13984,71670
01/07/1993,1850299,204453,16661,32692,32995,,53089,412879,3995,116464,5541,11030,164704,10759,576857,27521,13701,83442
01/08/1993,1871405,219932,16699,32747,34802,,51079,420433,3454,121483,5541,11034,164753,10778,572473,25763,14144,85985
01/09/1993,1832337,213811,16417,32302,33910,,47670,417563,4095,117900,5308,10879,162440,10595,555943,24670,14031,84823
01/10/1993,1950320,249679,17570,34947,35488,,54487,440892,5064,122550,5388,11850,176939,11352,574332,27934,14506,87192
01/11/1993,1965775,262373,17644,35074,36448,,60596,458579,4920,123183,5318,11871,177265,11404,551251,27324,13568,86045
01/12/1993,2063028,276888,18474,36704,39870,,67071,482445,5163,127407,5539,12432,185638,11946,571392,29068,15205,88044
