"Status","Gas Day Start","Gas in storage (TWh)","Full (%)","Trend (%)","Injection (GWh/d)","Withdrawal (GWh/d)","Working gas volume (TWh)","Injection capacity (GWh/d)","Withdrawal capacity (GWh/d)"
"E","2023-04-12","631.8879","56.06","0.08","1694.2","796.4","1127.163","11922.08","19947.95"
"E","2023-04-11","630.981","55.98","0.13","1937.45","417","1127.163","11928.7","19975.66"
"E","2023-04-10","629.4314","55.84","0.21","2673.31","309.3","1127.163","11928.78","20067.97"
"E","2023-04-09","627.0612","55.63","0.19","2497.44","395.5","1127.163","11928.85","20067.78"
"E","2023-04-08","624.9725","55.45","0.11","1942.97","665.3","1127.163","11928.91","20067.63"
"E","2023-04-07","623.7163","55.34","0.03","1321.98","1033.9","1127.163","11928.96","20067.48"
"E","2023-04-06","623.4111","55.41","-0.08","683.54","1546.3","1125.163","11928.96","20067.48"
"E","2023-04-05","624.2786","55.48","-0.12","777.81","2081.5","1125.163","11919.94","20035.4"
"E","2023-04-04","625.6138","55.61","-0.13","736.17","2177.7","1125.016","11927.25","20034.66"
"E","2023-04-03","627.0135","55.73","-0.07","777.85","1563","1125.016","11927.25","20034.65"
"E","2023-04-02","629.1174","55.92","0.05","1319.09","777.9","1125.127","11909.34","20059.43"
"E","2023-04-01","627.0117","55.72","0.15","2106.1","434.5","1125.2833","11910.7","20061.17"
"E","2023-03-31","626.2583","55.72","0.11","2113.23","839.1","1124.0174","11842.84","20069.49"
"E","2023-03-30","625.1482","55.64","0.04","1418.5","958.9","1123.6367","11842.91","20069.3"
"E","2023-03-29","624.7103","55.6","-0.08","679.85","1602.8","1123.6367","11833.94","20037.1"
"E","2023-03-28","625.5632","55.68","-0.2","469.18","2768.6","1123.5352","11826.08","20061.62"
"E","2023-03-27","627.9754","55.89","-0.13","613.26","2092.2","1123.6367","11831.78","20070.14"
"E","2023-03-26","629.4061","56.02","0.05","1360.15","831.3","1123.6367","11828.66","20065.51"
"E","2023-03-25","628.848","56.04","0.14","2161.02","639.3","1122.1831","11709.31","19867.71"
"C","2023-03-24","627.2369","55.82","0.12","2087.1","755.9","1123.6367","11831.4","20067.32"
"E","2023-03-23","625.7428","55.69","0.05","1647.53","1052.7","1123.6367","11819.99","20022.67"
"E","2023-03-22","625.0351","55.63","0.02","1438.37","1164.2","1123.6367","11812.1","19993.83"
"E","2023-03-21","624.7117","55.6","-0.04","797.58","1273","1123.6367","11833.16","20068.64"
"E","2023-03-20","625.2269","55.64","-0.11","491.44","1757.6","1123.6367","11833.25","20087.89"
"E","2023-03-19","626.5546","55.76","0.03","1315.58","1014.4","1123.6367","11833.4","20087.5"
"E","2023-03-18","626.2616","55.74","0.04","1491.32","1025.8","1123.6367","11833.61","20086.94"
"E","2023-03-17","625.6998","55.69","-0.09","810.16","1802.4","1123.6367","11833.71","20086.69"
"E","2023-03-16","626.7124","55.78","-0.2","406.05","2614.9","1123.6367","11820.69","20040.32"
"E","2023-03-15","628.9374","55.97","-0.26","331.23","3216.8","1123.6367","11812.67","20011.81"
"E","2023-03-14","631.8152","56.23","-0.16","371.55","2175.2","1123.6367","11833.68","20086.77"
"E","2023-03-13","633.6686","56.39","-0.09","846.51","1901.1","1123.6367","11833.94","20086.07"
"E","2023-03-12","634.7459","56.49","-0.14","502.27","2130.1","1123.6367","11833.96","20086.03"
"E","2023-03-11","636.4285","56.64","-0.23","227.09","2777.3","1123.6367","11833.87","20086.26"
"E","2023-03-10","639.0309","56.87","-0.29","231.81","3452.4","1123.6367","11833.8","20104.65"
"E","2023-03-09","642.3284","57.17","-0.36","267.52","4356.5","1123.6367","11833.37","20067.58"
"E","2023-03-08","646.5126","57.54","-0.5","147.71","5796.8","1123.6367","11823.8","20036.96"
"E","2023-03-07","652.1835","58.04","-0.51","101","5847.1","1123.6367","11832.28","20070.46"
"E","2023-03-06","657.8871","58.55","-0.52","86.03","5906.8","1123.6367","11831.82","20071.66"
"E","2023-03-05","662.4381","58.95","-0.34","187.41","3997.2","1123.6367","11831.57","20072.33"
"E","2023-03-04","668.6349","59.51","-0.3","260.13","3618.9","1123.6367","11831.38","20072.82"
"E","2023-03-03","670.8684","59.71","-0.45","260.7","5301","1123.6367","11830.99","20073.86"
"E","2023-03-02","675.8472","60.15","-0.46","182.19","5407","1123.6359","11830.43","20075.16"
"E","2023-03-01","681.189","60.62","-0.51","180.18","5895.7","1123.6367","11816.26","20038.64"
"E","2023-02-28","685.9413","61.05","-0.52","233.26","6097.9","1123.5352","11855.64","20092.97"
"E","2023-02-27","691.8847","61.58","-0.54","185.29","6208.6","1123.6367","11860.94","20102.54"
"E","2023-02-26","698.1651","62.19","-0.29","367.28","3568.5","1122.669","11851.36","20088.31"
"E","2023-02-25","700.8571","62.43","-0.22","491.75","2964.6","1122.669","11849.34","20087.21"
"E","2023-02-24","703.5801","62.67","-0.28","436.16","3528.5","1122.669","11850.7","20090.05"
"E","2023-02-23","706.6576","62.94","-0.27","429.87","3503.2","1122.669","11850.45","20090.69"
"E","2023-02-22","709.7362","63.22","-0.29","350.39","3616.9","1122.6689","11841.17","20059.29"
"E","2023-02-21","713.0015","63.51","-0.3","415.09","3793.8","1122.6689","11850.13","20091.52"
"E","2023-02-20","716.377","63.81","-0.24","541.95","3243.1","1122.6689","11850.16","20115.64"
"E","2023-02-19","719.0629","64.05","-0.12","888.15","2237.3","1122.6689","11850.21","20115.52"
"E","2023-02-18","720.4878","64.18","-0.1","1159","2262.9","1122.6689","11850.32","20115.23"
"E","2023-02-17","721.6986","64.28","-0.24","609.96","3345.4","1122.6689","11850.41","20114.99"
"E","2023-02-16","724.5043","64.53","-0.34","226.11","3994.1","1122.6689","11850.29","20115.3"
"E","2023-02-15","728.3575","64.88","-0.41","159.73","4784.8","1122.6689","11841.23","20083.32"
"E","2023-02-14","733.0343","65.29","-0.44","123.78","5072.1","1122.6689","11849.7","20116.87"
"E","2023-02-13","737.997","65.74","-0.45","208.72","5299","1122.6689","11849.21","20118.15"
"E","2023-02-12","743.0971","66.19","-0.34","298.29","4160.8","1122.6689","11848.89","20118.99"
"E","2023-02-11","747.1327","66.55","-0.43","192.14","4968.4","1122.6689","11848.53","20119.96"
"E","2023-02-10","751.9384","66.98","-0.58","214.36","6749","1122.6689","11848.18","20128.86"
"E","2023-02-09","758.5089","67.56","-0.67","175.01","7704.1","1122.6689","11847.83","20129.79"
"E","2023-02-08","766.0787","68.24","-0.65","159.5","7496.5","1122.6689","11838.45","20098.67"
"E","2023-02-07","773.4408","68.89","-0.66","178.53","7585.7","1122.6689","11847.06","20131.81"
"E","2023-02-06","780.7293","69.54","-0.63","138.29","7200.2","1122.6689","11846.71","20132.75"
"E","2023-02-05","786.7178","70.2","-0.34","303.09","4157.5","1120.6695","11792.53","20038.73"
"E","2023-02-04","791.5449","70.51","-0.31","339.81","3802.5","1122.6689","11846.31","20131.81"
"E","2023-02-03","795.0285","70.82","-0.37","227.04","4431.9","1122.6689","11846.01","20056.5"
"E","2023-02-02","799.3368","71.2","-0.45","229.89","5329.3","1122.6689","11845.61","20054.54"
"E","2023-02-01","804.381","71.65","-0.46","223.65","5392.3","1122.6689","11835.97","20023.04"
"E","2023-01-31","809.6705","72.12","-0.53","200.38","6161.5","1122.6689","11844.87","20093.09"
"E","2023-01-30","813.4324","72.6","-0.58","120.15","6576","1120.3689","11824.85","20020.01"
"E","2023-01-29","819.8951","73.18","-0.51","265.02","5939.6","1120.3689","11824.55","20020.82"
"E","2023-01-28","825.787","73.71","-0.58","209.89","6661.4","1120.3689","11824.14","20021.9"
"E","2023-01-27","832.2822","74.29","-0.7","174.53","8016.6","1120.3689","11810.77","19976.47"
"E","2023-01-26","840.1437","74.99","-0.69","197.52","7967","1120.3689","11799.43","19938.1"
"E","2023-01-25","847.3422","75.63","-0.69","175.54","7884.4","1120.3689","11799.07","19939.03"
"E","2023-01-24","853.983","76.22","-0.73","159.58","8301.6","1120.3688","11798.74","19939.92"
"C","2023-01-23","863.0718","77.03","-0.73","125.98","8267","1120.3688","11798.4","19940.81"
"C","2023-01-22","871.1132","77.8","-0.55","249.59","6376.8","1119.6648","11792.94","19936.36"
"C","2023-01-21","877.2861","78.35","-0.52","256.29","6122","1119.6648","11792.64","19937.14"
"C","2023-01-20","883.1787","78.88","-0.62","171.08","7066.1","1119.6648","11792.6","19967.26"
"C","2023-01-19","890.0727","79.49","-0.59","114.43","6753.5","1119.6648","11792.26","19968.13"
"C","2023-01-18","896.6965","80.09","-0.5","152.75","5757.5","1119.6648","11791.96","19968.95"
"E","2023-01-17","902.2684","80.58","-0.48","179.2","5509.9","1119.6648","11791.68","19969.67"
"E","2023-01-16","907.6133","81.06","-0.41","186.73","4762.3","1119.6648","11794.48","19980.9"
"E","2023-01-15","912.3316","81.48","-0.2","510.07","2732.1","1119.6648","11815.45","20055.95"
"E","2023-01-14","914.6584","81.69","-0.19","610.6","2696.6","1119.6648","11815.43","20056.02"
"E","2023-01-13","916.7534","81.88","-0.23","400.91","2987.5","1119.6648","11815.36","20056.19"
"C","2023-01-12","919.415","82.12","-0.21","447.9","2772.7","1119.6648","11815.33","20056.28"
"C","2023-01-11","921.7455","82.32","-0.22","443.64","2952.7","1119.6648","11806.31","20024.2"
"C","2023-01-10","924.2559","82.59","-0.24","366.91","3064.1","1119.14","11815.25","20066.99"
"C","2023-01-09","926.9512","82.83","-0.22","387.3","2887.8","1119.14","11815.2","20067.13"
"E","2023-01-08","929.46","83.05","-0.07","941.09","1681.3","1119.14","11815.19","20067.14"
"C","2023-01-07","930.2336","83.12","-0.03","1137.08","1487.5","1119.14","11815.19","20067.14"
"C","2023-01-06","930.6471","83.16","-0.05","1126.3","1645.2","1119.14","11815.2","20067.13"
"C","2023-01-05","931.2093","83.21","-0.12","822.63","2141.8","1119.14","11815.17","20067.21"
"C","2023-01-04","932.7264","83.34","-0.06","997.29","1669.8","1119.13","11806.14","20035.14"
"C","2023-01-03","933.4468","83.41","-0.08","1264.17","2192.6","1119.13","11815.13","20067.3"
"C","2023-01-02","934.3651","83.49","0.01","1522.21","1429","1119.13","11815.17","20067.21"
"E","2023-01-01","934.3918","83.5","0.14","2342.8","758.9","1119.0183","11814.33","20065.62"
"E","2022-12-31","932.819","83.35","0.15","2561.45","926.1","1119.1183","11814.49","20065.2"
"E","2022-12-30","931.814","83.26","0.06","2028.94","1377.8","1119.1183","11814.51","20065.15"
"C","2022-12-29","931.1996","83.21","0.04","2187.33","1683.8","1119.1183","11814.51","20065.14"
"C","2022-12-28","930.8316","83.18","0","1680.07","1664.8","1119.1183","11805.43","20032.23"
"C","2022-12-27","930.8514","83.18","-0.03","1612.88","1895.5","1119.1183","11814.46","20064.27"
"C","2022-12-26","931.1492","83.2","0.1","2277.02","1139.5","1119.1183","11814.53","20064.08"
"C","2022-12-25","930.0286","83.1","0.12","2281.65","903","1119.1183","11814.63","20063.83"
"C","2022-12-24","928.6626","82.98","0.1","2212.94","1085.9","1119.1183","11814.71","20063.62"
"C","2022-12-23","927.8494","82.91","-0.03","1631.42","1963.5","1119.1183","11814.74","20063.54"
"E","2022-12-22","928.1548","82.94","-0.09","1312.8","2347.8","1119.1183","11576.42","20059.1"
"C","2022-12-21","929.1877","83.03","-0.12","1480.71","2863.4","1119.1183","11567.2","20025.55"
"C","2022-12-20","930.5753","83.18","-0.27","660.5","3680.9","1118.7385","11575.81","20058.7"
"C","2022-12-19","933.6142","83.45","-0.37","465.05","4600.9","1118.7385","11569.71","20052.36"
"C","2022-12-18","937.7385","83.82","-0.35","497.51","4449.7","1118.7385","11574.88","20061.16"
"C","2022-12-17","941.7401","84.18","-0.41","305.34","4940.9","1118.7385","11574.34","20062.6"
"C","2022-12-16","946.423","84.6","-0.57","164.68","6510.8","1118.7385","11573.82","20063.97"
"C","2022-12-15","952.9419","85.18","-0.67","114.19","7579.5","1118.7385","11573.22","20065.53"
"C","2022-12-14","960.4241","85.85","-0.71","117.22","8005.1","1118.7385","11572.87","20066.46"
"C","2022-12-13","968.3508","86.56","-0.76","103.35","8581.2","1118.7385","11571.02","20136.94"
"C","2022-12-12","976.955","87.33","-0.7","79.76","7910.3","1118.7385","11572.39","20067.74"
"C","2022-12-11","984.8172","88.03","-0.47","213.54","5427.7","1118.7385","11572.2","20068.23"
"C","2022-12-10","990.0466","88.5","-0.43","317.4","5082","1118.7385","11572.03","20109.48"
"C","2022-12-09","994.8535","88.93","-0.48","177.88","5580.9","1118.7385","11571.81","20110.06"
"C","2022-12-08","1000.2829","89.41","-0.51","121.07","5785.7","1118.7385","11571.56","20110.71"
"C","2022-12-07","1005.9471","89.92","-0.48","192.77","5595.3","1118.7385","11571.36","20111.26"
"C","2022-12-06","1011.3704","90.4","-0.45","150.14","5235.6","1118.7385","11571.16","20111.78"
"C","2022-12-05","1016.421","90.85","-0.42","166.05","4865.5","1118.7385","11570.96","20112.3"
"C","2022-12-04","1021.1273","91.27","-0.29","260.93","3465.6","1118.7385","11810.87","20110.53"
"C","2022-12-03","1024.3663","91.56","-0.3","169.75","3513.1","1118.7385","11810.74","20110.89"
"C","2022-12-02","1027.665","91.86","-0.46","148.19","5284.4","1118.7385","11810.51","20111.49"
"C","2022-12-01","1032.7965","92.32","-0.39","785.72","5177.5","1118.7385","11570.4","20111.78"
"C","2022-11-30","1038.0796","92.79","-0.38","270.67","4558","1118.7385","11634.17","20108.21"
"C","2022-11-29","1042.6521","93.2","-0.39","186.35","4584.8","1118.7385","11634.01","20108.63"
"C","2022-11-28","1047.2318","93.61","-0.3","178.24","3505.8","1118.7385","11633.99","20108.67"
"C","2022-11-27","1050.5993","93.91","-0.06","699.35","1369.4","1118.7385","11634.07","20108.46"
"C","2022-11-26","1051.1248","93.96","-0.07","704.88","1451.9","1118.7385","11634.17","20108.19"
"C","2022-11-25","1051.8853","94.02","-0.17","342.31","2229.1","1118.7385","11634.19","20108.16"
"C","2022-11-24","1053.7995","94.2","-0.18","277.26","2254.9","1118.7385","11634.19","20103.15"
"C","2022-11-23","1055.7422","94.38","-0.17","524.8","2451.1","1118.6453","11632.57","20101.01"
"E","2022-11-22","1057.6679","94.58","-0.23","333.12","2915.4","1118.2481","11634.07","20103.46"
"E","2022-11-21","1060.2536","94.81","-0.21","339.79","2723.8","1118.2481","11633.95","20103.79"
"E","2022-11-20","1062.5296","95.02","-0.11","390.1","1629.6","1118.2481","11873.93","20103.84"
"E","2022-11-19","1063.7929","95.13","-0.09","393.98","1415.6","1118.2281","11873.91","20103.89"
"E","2022-11-18","1064.8255","95.22","-0.11","404.09","1620.3","1118.2281","11873.9","20103.92"
"E","2022-11-17","1066.0457","95.33","-0.03","691.69","1065.9","1118.2281","11873.91","20103.88"
"E","2022-11-16","1066.436","95.39","-0.05","725.86","1258.6","1118.0143","11878.91","20103.88"
"C","2022-11-15","1067.11","95.45","-0.11","537.21","1762.8","1117.9443","11878.95","20103.77"
"C","2022-11-14","1068.3443","95.57","-0.06","740.39","1464.1","1117.8846","11878.89","20103.95"
"C","2022-11-13","1069.0758","95.64","0.09","1485.4","452.2","1117.8516","11878.91","20103.89"
"C","2022-11-12","1068.0199","95.54","0.09","1505.46","480.1","1117.8516","11878.93","20103.84"
"C","2022-11-11","1067.0669","95.46","0.06","1261.95","583.2","1117.7955","11883.94","20103.82"
"E","2022-11-10","1066.4156","95.41","0.06","1377.83","690","1117.7355","11878.9","20103.91"
"C","2022-11-09","1065.7605","95.36","0.06","1330.48","614.1","1117.6745","11873.89","20103.94"
"C","2022-11-08","1065.052","95.29","0.06","1437.93","748.5","1117.6745","11873.88","20103.97"
"C","2022-11-07","1064.4032","95.24","0.05","1216.5","680.6","1117.6085","11873.88","20103.97"
"C","2022-11-06","1063.8668","95.19","0.13","1798.13","398.3","1117.5825","11898.93","20103.83"
"C","2022-11-05","1062.4738","95.07","0.11","1707.35","474.8","1117.5825","11897.64","20101.9"
"C","2022-11-04","1061.2343","95.05","0.06","1445.49","780.6","1116.5501","11859.09","20093.6"
"C","2022-11-03","1060.5977","95.01","0.02","1288.9","1067","1116.2981","11851.1","20093.78"
"E","2022-11-02","1060.398","95","0.1","1624.94","526.5","1116.2351","11851.12","20093.74"
"C","2022-11-01","1059.4137","94.91","0.18","2270.82","285.8","1116.1721","11851.2","20093.52"
"C","2022-10-31","1057.4622","94.74","0.15","2145.03","495.2","1116.1641","11916.69","20093.51"
"C","2022-10-30","1055.8735","94.68","0.22","2716.62","264.4","1115.1641","11912.61","20088.25"
"E","2022-10-29","1053.225","94.33","0.22","2822.65","324.4","1116.5883","11633.44","19788.61"
"E","2022-10-28","1050.6964","94.22","0.18","2397.83","444.7","1115.1641","11515.39","19592.15"
"E","2022-10-27","1048.8557","94.05","0.14","2114.47","508.8","1115.1641","11513.94","19590.05"
"C","2022-10-26","1047.2713","93.91","0.09","1875.41","821.3","1115.1641","11513.94","19590.05"
"C","2022-10-25","1046.2326","93.82","0.11","2046.97","783.8","1115.1341","11521.86","19590.05"
"C","2022-10-24","1044.9995","93.78","0.16","2265.4","441","1114.3341","11521.86","19590.05"
"E","2022-10-23","1042.8715","93.59","0.24","3187.86","471.6","1114.3341","11518.89","19586.12"
"C","2022-10-22","1040.4863","93.37","0.22","2951.31","508.1","1114.3329","11924.59","20093.55"
"C","2022-10-21","1038.0979","93.16","0.12","2268.96","899.2","1114.3329","11924.58","20093.58"
"C","2022-10-20","1036.746","93.04","0.11","2241.53","997.4","1114.3329","11924.61","20093.51"
"C","2022-10-19","1035.53","92.89","0.14","2377.98","825.3","1114.7489","11924.55","20093.65"
"C","2022-10-18","1034.0045","92.76","0.17","2530.23","676.1","1114.6819","11924.52","20093.73"
"C","2022-10-17","1032.1858","92.6","0.21","3062.98","709","1114.6819","11924.53","20093.72"
"C","2022-10-16","1029.8326","92.39","0.3","3831.13","535.6","1114.6819","11924.55","20093.32"
"C","2022-10-15","1026.6978","92.11","0.29","3744.97","529.6","1114.6819","11924.71","20092.9"
"C","2022-10-14","1023.5266","91.82","0.2","2948.48","741","1114.6819","11955.72","19966.87"
"E","2022-10-13","1021.3508","91.71","0.12","2450.05","1084.3","1113.6819","11955.67","19967"
"E","2022-10-12","1020.0082","91.6","0.13","2345.25","934.8","1113.5819","11955.56","19967.29"
"C","2022-10-11","1018.6079","91.47","0.17","2693.04","779.3","1113.5819","11955.56","19967.3"
"C","2022-10-10","1016.9754","91.32","0.21","3101.28","806.1","1113.5819","11955.68","19966.97"
"C","2022-10-09","1014.5712","91.11","0.29","3847.53","585.4","1113.5819","11955.84","19966.57"
"C","2022-10-08","1011.2957","90.81","0.32","4156.69","582.7","1113.5819","11955.99","19966.16"
"C","2022-10-07","1007.7384","90.5","0.28","3825.8","715","1113.5817","11956.06","19965.96"
"C","2022-10-06","1004.9253","90.32","0.26","3595.18","755.9","1112.5757","11956.13","19965.79"
"C","2022-10-05","1002.108","90.07","0.25","3468.01","699.4","1112.5766","11716.21","19965.58"
"E","2022-10-04","999.372","89.83","0.21","3151.95","774.8","1112.5766","11716.32","19893.28"
"C","2022-10-03","997.0365","89.62","0.25","3409.05","590.6","1112.5766","11716.46","19892.91"
"C","2022-10-02","994.1152","89.35","0.35","3974.39","111.6","1112.5766","11716.58","19892.61"
"C","2022-10-01","990.2567","89.01","0.3","3449.42","155","1112.5766","11713.52","19887.75"
"C","2022-09-30","986.7165","88.69","0.21","2737.33","377","1112.575","11763.41","19888.61"
"C","2022-09-29","985.4259","88.49","0.15","2342.51","664.3","1113.575","11763.43","19888.56"
"E","2022-09-28","983.3829","88.22","0.18","2633.17","658.8","1114.666","11763.2","19889.16"
"C","2022-09-27","981.8064","88.14","0.2","2630.54","447.7","1113.9358","11763.12","19889.37"
"C","2022-09-26","979.6204","87.94","0.23","2860.15","327.9","1113.9278","11745.91","19889.5"
"C","2022-09-25","977.1054","87.72","0.32","3730.62","179.8","1113.9278","11745.94","19889.43"
"C","2022-09-24","973.5705","87.4","0.31","3578.89","145","1113.9278","11745.97","19889.34"
"C","2022-09-23","970.164","87.09","0.19","2264.97","187","1113.9261","11746.02","19889.21"
"C","2022-09-22","967.5041","86.86","0.23","2791.58","265.8","1113.9163","11746.07","19889.09"
"C","2022-09-21","965.0359","86.64","0.21","2681.59","333.8","1113.7999","11722.1","19889"
"C","2022-09-20","962.673","86.43","0.22","2652.16","243.4","1113.7968","11722.13","19888.92"
"C","2022-09-19","960.2498","86.21","0.23","2893.87","352.3","1113.7968","11746.19","19888.76"
"C","2022-09-18","957.7065","85.99","0.36","4163.36","177.1","1113.7968","11746.28","19888.52"
"C","2022-09-17","953.7266","85.63","0.37","4271.9","179","1113.7968","11746.42","19888.15"
"C","2022-09-16","949.6377","85.26","0.34","3940.6","139.6","1113.7968","11746.64","19887.57"
"C","2022-09-15","945.9822","84.93","0.25","3158.45","376.4","1113.7968","11746.84","19887.05"
"C","2022-09-14","943.1955","84.68","0.23","2994.35","471.1","1113.7968","11746.98","19886.66"
"E","2022-09-13","940.6634","84.46","0.24","3034.66","402.3","1113.7968","11747.15","19886.22"
"C","2022-09-12","938.0389","84.2","0.25","3174.94","372.1","1113.9995","11751.89","19894.59"
"C","2022-09-11","935.2345","83.95","0.36","4225.35","260.7","1113.9995","11752.11","19894.01"
"C","2022-09-10","931.2679","83.6","0.35","4264.27","397.2","1113.9995","11752.33","19893.44"
"E","2022-09-09","927.3914","83.25","0.29","3770.59","549.5","1113.9995","11752.57","19892.81"
"C","2022-09-08","924.1545","82.96","0.31","3819.69","391.4","1113.9995","11752.75","19892.33"
"C","2022-09-07","920.727","82.65","0.23","3258.02","732.4","1113.9995","11752.71","19892.43"
"C","2022-09-06","918.1976","82.42","0.29","3743.29","477.7","1113.9995","11752.92","19891.86"
"C","2022-09-05","914.9342","82.13","0.31","3792.58","380.3","1113.9995","11749.29","19886.49"
"C","2022-09-04","911.5135","81.82","0.41","4768.06","189.5","1113.993","11728.14","19890.61"
"C","2022-09-03","906.9197","81.41","0.4","4641.74","201.4","1113.993","11728.36","19890.04"
"C","2022-09-02","902.4769","81.01","0.31","3813.82","314.7","1113.993","11728.56","19889.5"
"C","2022-09-01","899.1802","80.72","0.25","3425.37","672","1113.993","11728.51","19889.66"
"C","2022-08-31","895.1804","80.44","0.27","3670.06","646.1","1112.8956","11678.71","19889.45"
"C","2022-08-30","893.8826","80.32","0.28","3643.08","512.7","1112.8956","11678.93","19888.88"
"C","2022-08-29","890.8904","80.05","0.28","3536.61","424.9","1112.8956","11679.16","19888.28"
"C","2022-08-28","887.7873","79.77","0.4","4585.66","85.6","1112.9251","11678.57","19886.45"
"C","2022-08-27","883.3633","79.37","0.38","4347.57","80","1112.9251","11678.86","19885.66"
"C","2022-08-26","879.0959","78.99","0.32","3914.75","373.4","1112.9251","11696.23","19885.13"
"C","2022-08-25","875.5603","78.67","0.34","4040.4","311.9","1112.9251","11696.62","19884.09"
"C","2022-08-24","871.8014","78.33","0.33","4017.13","321","1112.9251","11696.73","19883.8"
"C","2022-08-23","868.0798","78.04","0.32","3777.98","265","1112.3175","11696.89","19883.36"
"C","2022-08-22","864.5676","77.73","0.32","3888.53","278.9","1112.2664","11696.42","19883.1"
"C","2022-08-21","860.9686","77.41","0.43","4950.62","147.1","1112.2659","11696.8","19882.06"
"C","2022-08-20","856.1879","76.98","0.44","4983.22","103.5","1112.2659","11697.28","19880.78"
"C","2022-08-19","851.3289","76.54","0.38","4380.57","196.4","1112.2659","11697.38","19880.54"
"C","2022-08-18","847.1657","76.17","0.35","4294.45","408.9","1112.2659","11697.19","19881.03"
"C","2022-08-17","843.3006","75.87","0.33","3995.41","380.2","1111.568","11697.17","19881.07"
"C","2022-08-16","839.7075","75.54","0.37","4361.08","217.2","1111.568","11697.59","19879.97"
"C","2022-08-15","835.7253","75.18","0.4","4693.55","218","1111.568","11698.01","19878.85"
"C","2022-08-14","831.2695","74.8","0.44","5051.89","126.7","1111.3253","11696.77","19874.5"
"C","2022-08-13","826.3785","74.36","0.44","5059.32","118.3","1111.3253","11697.17","19873.46"
"C","2022-08-12","821.4602","73.92","0.39","4518.97","181.6","1111.3253","11697.41","19872.81"
"C","2022-08-11","817.145","73.54","0.37","4450.68","367.1","1111.0876","11697.61","19872.29"
"E","2022-08-10","813.0318","73.17","0.4","4657","206.9","1111.0876","11697.87","19871.59"
"E","2022-08-09","808.5426","72.77","0.39","4506.13","150.1","1111.1164","11685.06","19824.69"
"E","2022-08-08","804.2119","72.38","0.38","4506.46","264.9","1111.1164","11677.41","19795.21"
"C","2022-08-07","799.9858","72","0.47","5288.93","78.1","1111.1159","11698.66","19869.47"
"C","2022-08-06","794.7971","71.53","0.45","5141.66","105.7","1111.1159","11699","19868.56"
"C","2022-08-05","789.7796","71.08","0.37","4374.4","276","1111.1159","11699.12","19868.24"
"C","2022-08-04","785.7035","71.18","0.33","3940.78","305.2","1103.853","11636.3","19797.74"
"C","2022-08-03","782.5931","70.89","0.36","4160.63","154.2","1103.943","11636.64","19796.86"
"C","2022-08-02","778.601","70.53","0.39","4443.39","157.9","1103.943","11636.97","19795.99"
"C","2022-08-01","774.338","70.14","0.36","4194.47","219.9","1103.944","11637.14","19795.55"
"C","2022-07-31","769.8884","69.29","0.43","4971.07","153.6","1111.1686","11699.6","19864.19"
"C","2022-07-30","765.6895","68.91","0.42","4774.53","148.7","1111.1686","11699.89","19863.41"
"C","2022-07-29","761.0635","68.49","0.34","4075.33","352.7","1111.1686","11682.81","19863.19"
"C","2022-07-28","757.3424","68.16","0.35","4214.27","371.9","1111.1686","11682.9","19862.95"
"C","2022-07-27","753.5065","67.81","0.35","4294.84","431.4","1111.1686","11682.91","19862.94"
"C","2022-07-26","749.6439","67.46","0.36","4295.24","276.1","1111.1686","11683.04","19862.58"
"C","2022-07-25","745.6239","67.1","0.39","4533.42","217.9","1111.1686","11683.65","19861.68"
"C","2022-07-24","741.3057","66.71","0.46","5197.84","81","1111.1549","11692.23","19859.97"
"C","2022-07-23","736.188","66.25","0.43","4889.46","159.5","1111.1549","11692.63","19858.92"
"E","2022-07-22","731.4186","65.83","0.34","4332.85","502.6","1111.155","11692.99","19857.98"
"C","2022-07-21","727.6085","65.48","0.28","4008.99","889.7","1111.155","11710.41","19857.29"
"C","2022-07-20","724.515","65.2","0.25","3770.16","985.4","1111.155","11710.78","19856.31"
"C","2022-07-19","721.7384","64.95","0.26","3865.69","971.7","1111.155","11711.08","19855.52"
"E","2022-07-18","718.9907","64.71","0.3","4204.52","859.7","1111.155","11711.29","19854.97"
"E","2022-07-17","715.6583","64.41","0.41","5035.12","519.4","1111.1501","11711.55","19853.73"
"C","2022-07-16","711.156","64","0.43","5354.67","603.5","1111.1501","11711.94","19852.7"
"C","2022-07-15","706.4097","63.57","0.34","4654.34","928.5","1111.1501","11712.32","19851.69"
"C","2022-07-14","702.7019","63.24","0.31","4291.37","791.3","1111.1501","11712.68","19850.75"
"C","2022-07-13","699.2152","62.93","0.28","4063.02","905.6","1111.0401","11713.03","19849.83"
"C","2022-07-12","696.0902","62.65","0.26","4144.08","1228.4","1111.0401","11713.31","19849.1"
"E","2022-07-11","693.214","62.39","0.25","3610.18","787.1","1111.0401","11706.57","19848.67"
"C","2022-07-10","690.5647","62.16","0.47","5438.5","178.9","1111.0299","11706.79","19846.91"
"C","2022-07-09","685.3261","61.68","0.48","5483.99","173.9","1111.0299","11707.26","19845.67"
"C","2022-07-08","680.0457","61.21","0.35","4341.93","420","1111.0299","11707.54","19844.95"
"C","2022-07-07","676.1504","60.86","0.35","4416.74","516.7","1111.0299","11707.69","19844.54"
"C","2022-07-06","672.2731","60.51","0.36","4377.09","366.3","1111.0291","11707.96","19843.63"
"C","2022-07-05","668.2794","60.15","0.36","4261.63","272.6","1111.0291","11708.22","19842.94"
